trial,target,delay,time,scrollCount_totalScrollCount,scrollCount_upScrollCount,scrollCount_downScrollCount,scrollCount_reverseScrollCount,participants
15,DIV 2,150,4.18,45,36,9,9,5
16,DIV 3,0,2.486,18,18,0,0,5
17,DIV 1,100,2.593,21,21,0,0,5
18,DIV 2,50,4.09,42,37,5,5,5
19,DIV 6,200,3.292,22,0,22,0,5
20,DIV 3,250,5.364,29,21,8,8,5
21,DIV 7,150,3.725,23,0,23,0,5
22,DIV 1,0,2.779,18,18,0,0,5
23,DIV 3,100,3.541,17,17,0,0,5
24,DIV 2,50,3.279,30,24,6,6,5
25,DIV 7,200,2.535,26,0,26,0,5
26,DIV 2,250,7.32,2,2,0,0,5
27,DIV 6,150,3.878,36,7,29,7,5
28,DIV 1,0,3.515,40,40,0,0,5
29,DIV 6,100,6.17,33,5,28,5,5
30,DIV 1,50,3.795,30,30,0,0,5
31,DIV 5,200,3.226,30,13,17,13,5
32,DIV 7,250,2.667,26,0,26,0,5
33,DIV 5,150,2.554,13,0,13,0,5
34,DIV 2,0,3.011,30,26,4,4,5
35,DIV 2,100,3.319,26,26,0,0,5
36,DIV 7,50,2.788,36,0,36,0,5
37,DIV 6,200,2.962,29,2,27,2,5
38,DIV 1,250,2.843,17,17,0,0,5
39,DIV 5,150,4.578,24,7,17,7,5
40,DIV 6,0,2.617,26,0,26,0,5
41,DIV 5,100,3.146,29,6,23,6,5
42,DIV 6,50,3.101,29,0,29,0,5
43,DIV 2,200,3.101,37,37,0,0,5
44,DIV 1,250,4.304,26,26,0,0,5
45,DIV 5,150,4.191,54,20,34,20,5
46,DIV 2,0,3.336,33,33,0,0,5
47,DIV 3,100,2.681,17,17,0,0,5
48,DIV 7,50,3.6,39,0,39,0,5
49,DIV 3,200,3.594,45,26,19,19,5
50,DIV 7,250,2.629,24,0,24,0,5
51,DIV 2,150,3.142,37,37,0,0,5
52,DIV 6,0,4.34,40,6,34,6,5
53,DIV 7,100,4.419,39,0,39,0,5
54,DIV 6,50,3.315,31,6,25,6,5
55,DIV 5,200,2.395,15,0,15,0,5
56,DIV 3,250,2.464,17,17,0,0,5
57,DIV 1,150,3.204,22,22,0,0,5
58,DIV 7,0,2.998,36,0,36,0,5
